category,difficulty,practicality,move1,move2,move3,move4,is_kill,Importance,note
低%,★☆☆,★☆☆,空前or空後,下強,,,FALSE,まれに使う,簡単、先端すぎると当たらない
低%,★⯪☆,★★★,空前or空後,横B,,,FALSE,よく使う,先端でも、微歩き挟めばあたる。主要技
低%,★★☆,★★★,空前or空後,つかみ,下投げ,空上,FALSE,使う,0％始動ではほぼ入らない。空上当てるのがシビア。外してもターン継続がしやすい
低%,★☆☆,★☆☆,空上,上強or空上,,,FALSE,たまに使う,簡単で上強や空上を当てた後、回避やジャンプ読みが当たれば展開がよい。また、空上なら相手がガードを貼っていてもあと隙をかられずらい。
低%,★☆☆,★★★,空上or空前or空後,空N,空N,,FALSE,よく使う,最強。空上ならかられずらい。また、リターンが高く復帰阻止展開に持っていきやすい。
中%,★☆☆,★★☆,空上,空Nor空前or空後,,,FALSE,使う,崖外に出してあわよくば撃墜を狙う。崖展開になることが多いので崖キャンセルキャラ以外には有効
中%,★☆☆,★★☆,空下,上強or空上or空後or空前or空Nor横スマ,,,FALSE,よく使う,空下は発生がほかの技に比べて遅く、ジャスガ狙いの相手に刺さりやすい。当たれば展開が良い。ガードされても当て方によっては反撃されにくい
中%,★⯪☆,★★⯪,空上,空上,空上,,FALSE,よく使う,2回目の空上の際少しディレイを入れるのがコツ。当てられると拘束時間が長く相手にストレスを与えられる。
高%,★☆☆,★★★,空上,空上,,,TRUE,よく使う,シンプルに強い。
高%,★⯪☆,★★★,空N(1段目),横スマor上スマ,,,TRUE,たまに使う,最強。早期撃墜を狙える。大ジャンプから一段目は当てやすい。あと隙も少なく、当てた後暴れるのも良い。ストック目などに当てると相手が警戒して、ガードが固くなり、つかみやNBが刺さりやすくなる。
高%,★★☆,★★☆,空N(1段目),空後or上B,,,TRUE,たまに使う,空N→横スマが当たらないときに使う操作が少し難しい
高%,★⯪☆,★★☆,空下,上スマ,,,TRUE,たまに使う,撃墜できるときもあるが％管理が難しいのであたるとき以外は空上or空後が安定
高%,★⯪☆,★★★,空下,空上,,,TRUE,たまに使う,最強。相手が当たりたくなくて上ベクしたりジャンプしたりするので展開もよいし撃墜もしやすい。回避されても上Bやつかみなどでダブルマークなるになることが多い。ただし、2段ジャンプは必須
高%,★⯪☆,★★★,下強,下スマ,,,TRUE,よく使う,最強。コンボ？といえるのかはわからないが下強は受け身がとりずらいのでダウンした相手を下スマで撃墜できる。弱でダウン連をし横スマで早期撃墜狙うのも良い。
